object,filt,wlen,h,a0,k,amin,Pmin,dh,Dh,dh_med,h_med,Dh_med,da0,Da0,da0_med,a0_med,Da0_med,dk,Dk,dk_med,k_med,Dk_med,damin,Damin,damin_med,amin_med,Damin_med,dPmin,DPmin,dPmin_med,Pmin_med,DPmin_med,alb,dalb
Ceres,0.30-0.45,0.4,0.2519910359705017,18.180786129934177,7.505583190840479,7.337609383629621,-1.684241444919735,,,,,,,,,,,,,,,,,,,,,,,,,,0.086681664160401,0.006566404208740226
Ceres,0.45-0.60,0.5,0.2542108835677505,18.237485429961723,8.11597044979285,7.477762949283745,-1.661308233443481,,,,,,,,,,,,,,,,,,,,,,,,,,0.09308680380195773,0.006935580891511887
Ceres,0.60-0.70,0.65,0.22907881613249853,18.301965553823635,6.741471470539942,7.194770853846953,-1.6067103454191631,,,,,,,,,,,,,,,,,,,,,,,,,,0.09570601976639712,0.0071277246965732325
Ceres,0.80-1.00,0.9,0.24843176345372198,18.06672756129018,8.493568098512412,7.488495367035817,-1.5799322357894234,,,,,,,,,,,,,,,,,,,,,,,,,,0.09433699466056449,0.007026269516592352
Ceres,J,1.253,0.25699163341143805,17.796085317227355,6.543573187863774,6.992894966552529,-1.75383492920797,0.004183978969466151,0.004323083477265399,0.004188657109445104,0.256996311551417,0.004318405337286446,0.05309681554784618,0.05927930314450336,0.055596835811709155,17.798585337491218,0.05677928288064038,0.4347535180058344,0.5220532572871166,0.453052382758071,6.56187205261601,0.50375439253488,0.1303949286364574,0.13964336899747032,0.1363168101880916,6.9988168481041635,0.13372148744583612,0.023252674889723712,0.024587006674498202,0.02421368647953548,-1.7528739176181583,0.023625995084686435,0.08966782823269573,0.006678179544892517
Ceres,H,1.632,0.2566755498575334,17.716889986692333,7.7275490018133866,7.234473388291561,-1.6405006124705128,0.0047008883857044825,0.006118608573537188,0.00531717448095631,0.2572918359527852,0.00550232247828536,0.05877941401479703,0.07348722253950157,0.06530349406045843,17.723414066737995,0.06696314249384017,0.627927455546299,0.9669530142715654,0.7312361747160399,7.830857720983127,0.8636442951018246,0.14402602088387706,0.1869370682563618,0.16693594918474286,7.257383316592427,0.164027139955496,0.027358248225192394,0.03121034279668522,0.02962322427379882,-1.6382356364219064,0.028945366748078794,0.09206027612307599,0.006856742702205148
Ceres,K,2.146,0.3008275298682895,17.46360445147577,13.087314626814372,7.774845340870967,-1.6355147979956766,0.006371749871151522,0.012601241711277689,0.009501329570124895,0.30395710956726285,0.009471662012304316,0.06791340467073326,0.13018119161050024,0.10044935833300528,17.496140405138043,0.09764523794822821,1.5669032404883136,6.303932487343317,3.0415928055949504,14.562004191921009,4.829242922236681,0.1431220823827024,0.3502810442554809,0.2511961896809094,7.882919448169174,0.2422069369572739,0.029152978148853093,0.05710546472332689,0.04394943425895015,-1.6207183418855795,0.04230900861322984,0.09422292644858732,0.007019974753927548
Vesta,0.30-0.45,0.4,0.07667142139515795,21.713306633443104,7.569864596592189,8.419331097837075,-0.6516566189054279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesta,0.45-0.60,0.5,0.06428812781770926,22.196594408558052,5.918353446307889,7.964139036496943,-0.6253037809802922,,,,,,,,,,,,,,,,,,,,,,,,,,0.37165626915698874,0.03916086819730537
Vesta,0.60-0.70,0.65,0.06686943956926286,21.76217618276319,4.068142342606632,6.841595188995226,-0.7518422469628093,,,,,,,,,,,,,,,,,,,,,,,,,,0.40325260912292354,0.04245228667621387
Vesta,0.80-1.00,0.9,0.06566575925066388,23.30656406964384,4.190366579007925,7.206573747075918,-0.8052262285733556,,,,,,,,,,,,,,,,,,,,,,,,,,0.32174898728638496,0.0338950236241719
Vesta,J,1.253,0.05883555539001021,22.722026641605485,4.123510137398426,7.054018141416776,-0.7003280066861822,0.007543386517383552,0.009781113014707264,0.008337816316045958,0.059629985188672616,0.008986683216044858,0.5413143145898083,0.6479650836890158,0.5352082278415224,22.7159205548572,0.6540711704373017,0.7455831022296393,1.124131456274819,0.8651052661357794,4.2430323013045665,1.004609292368679,0.5510579754815161,0.6373172018253355,0.6322256508727406,7.135185816808001,0.556149526434111,0.02341328955256483,0.022940169577447267,0.023438647569206883,-0.7003026486695402,0.022914811560805215,0.4503332166581436,0.04744293983675893
Vesta,H,1.632,0.08205399209675927,23.25857821281614,6.283130542447463,8.380412076341845,-0.8314322690583029,0.007054713915211092,0.014030476862603974,0.010024068315223372,0.08502334649677155,0.011061122462591694,0.4870779157783325,0.40723646613542996,0.40070523019842597,23.172205527236233,0.4936091517153365,0.8553816165532817,2.391162154679934,1.3480298089996472,6.775778734893828,1.8985139622335687,0.36385774387659353,0.7003313502112523,0.5472494227036897,8.56380375516894,0.5169396713841561,0.026949221422549074,0.03032545051411173,0.028455658100042802,-0.8299258323808092,0.028819013836618,0.4343423531201427,0.045772524136881425
Vesta,K,2.146,0.090542791052626,23.963946895850643,5.067340388879138,7.91826704449846,-1.0579426603358821,0.009209173073125673,0.01348555422624749,0.011013621544604377,0.0923472395241047,0.011681105754768786,0.6286888572515466,0.5768629858490577,0.5585945996219763,23.893852638221073,0.6469572434786279,0.6557870083109014,1.1752428550952398,0.8144310454562262,5.225984426024463,1.016598817949915,0.3702178233601847,0.5122934498784293,0.44640654406401037,7.994455765202286,0.43610472917460363,0.030494366484160818,0.03234108131549629,0.031837026759834464,-1.0566000000602085,0.030998421039822643,0.4041790236039932,0.04268481344776112
